Indexcd,Idxtrd01,Idxtrd08
1,2019-08-02,-1.4071
1,2019-08-05,-1.6159
1,2019-08-06,-1.5573
1,2019-08-07,-0.3196
1,2019-08-08,0.9345
1,2019-08-09,-0.7085
1,2019-08-12,1.4503
1,2019-08-13,-0.63
1,2019-08-14,0.4167
1,2019-08-15,0.245
1,2019-08-16,0.285
1,2019-08-19,2.099
1,2019-08-20,-0.1073
1,2019-08-21,0.0115
1,2019-08-22,0.1078
1,2019-08-23,0.4852
1,2019-08-26,-1.1686
1,2019-08-27,1.3489
1,2019-08-28,-0.2907
1,2019-08-29,-0.098
1,2019-08-30,-0.162
1,2019-09-02,1.3121
1,2019-09-03,0.2068
1,2019-09-04,0.9303
1,2019-09-05,0.9621
1,2019-09-06,0.46
1,2019-09-09,0.838
1,2019-09-10,-0.1169
1,2019-09-11,-0.4101
1,2019-09-12,0.7452
1,2019-09-16,-0.0159
1,2019-09-17,-1.7367
1,2019-09-18,0.2532
1,2019-09-19,0.4562
1,2019-09-20,0.239
1,2019-09-23,-0.9769
1,2019-09-24,0.2776
1,2019-09-25,-1.0018
1,2019-09-26,-0.8914
1,2019-09-27,0.1051
1,2019-09-30,-0.9201
1,2019-10-08,0.2885
1,2019-10-09,0.3874
1,2019-10-10,0.7814
1,2019-10-11,0.8802
1,2019-10-14,1.151
1,2019-10-15,-0.5598
1,2019-10-16,-0.4124
1,2019-10-17,-0.0463
1,2019-10-18,-1.3164
1,2019-10-21,0.0503
1,2019-10-22,0.5022
1,2019-10-23,-0.4319
1,2019-10-24,-0.0237
1,2019-10-25,0.4764
1,2019-10-28,0.85
1,2019-10-29,-0.8682
1,2019-10-30,-0.5028
1,2019-10-31,-0.3492
1,2019-11-01,0.995
1,2019-11-04,0.5846
1,2019-11-05,0.5401
1,2019-11-06,-0.4334
1,2019-11-07,0.004
1,2019-11-08,-0.4878
1,2019-11-11,-1.8288
1,2019-11-12,0.1666
1,2019-11-13,-0.3287
1,2019-11-14,0.1593
1,2019-11-15,-0.6367
1,2019-11-18,0.6176
1,2019-11-19,0.8522
1,2019-11-20,-0.7818
1,2019-11-21,-0.2547
1,2019-11-22,-0.632
1,2019-11-25,0.7237
1,2019-11-26,0.0307
1,2019-11-27,-0.133
1,2019-11-28,-0.4651
1,2019-11-29,-0.6129
1,2019-12-02,0.1332
1,2019-12-03,0.3092
1,2019-12-04,-0.2282
1,2019-12-05,0.7419
1,2019-12-06,0.4327
1,2019-12-09,0.0846
1,2019-12-10,0.0974
1,2019-12-11,0.2434
1,2019-12-12,-0.2981
1,2019-12-13,1.7827
1,2019-12-16,0.5633
1,2019-12-17,1.2743
1,2019-12-18,-0.1779
1,2019-12-19,0.0007
1,2019-12-20,-0.402
1,2019-12-23,-1.4039
1,2019-12-24,0.6727
1,2019-12-25,-0.0268
1,2019-12-26,0.8543
1,2019-12-27,-0.0771
1,2019-12-30,1.1643
1,2019-12-31,0.3322
1,2020-01-02,1.1499
1,2020-01-03,-0.0458
1,2020-01-06,-0.0123
1,2020-01-07,0.6938
1,2020-01-08,-1.221
1,2020-01-09,0.9126
1,2020-01-10,-0.0837
1,2020-01-13,0.7528
1,2020-01-14,-0.2808
1,2020-01-15,-0.5402
1,2020-01-16,-0.5164
1,2020-01-17,0.046
1,2020-01-20,0.6598
1,2020-01-21,-1.4098
1,2020-01-22,0.2822
1,2020-01-23,-2.7518
1,2020-02-03,-7.7245
1,2020-02-04,1.3355
1,2020-02-05,1.2503
1,2020-02-06,1.7183
1,2020-02-07,0.3298
1,2020-02-10,0.505
1,2020-02-11,0.387
1,2020-02-12,0.8693
1,2020-02-13,-0.7115
1,2020-02-14,0.3762
1,2020-02-17,2.2836
1,2020-02-18,0.0452
