"Markettype","Trdmnt","Mretwdos","Mmvosd"
"8","2003-03","-0.015616","33109700.030"
"2","2003-04","-0.031444","5583281.310"
"4","2003-04","-0.016373","501368502.470"
"1","2003-04","-0.009252","796869293.090"
"8","2003-04","0.045579","34618836.920"
"2","2003-05","0.007545","5487774.830"
"4","2003-05","0.050463","522950350.730"
"1","2003-05","0.039792","825733507.550"
"8","2003-05","0.063838","35209336.260"
"2","2003-06","-0.058439","5226538.820"
"4","2003-06","-0.078830","482593807.180"
"1","2003-06","-0.059331","779273240.660"
"8","2003-06","-0.043918","34731104.130"
"2","2003-07","0.003772","5205214.530"
"4","2003-07","-0.017104","476237676.410"
"1","2003-07","-0.009343","783177699.050"
"8","2003-07","0.064135","36846985.260"
"2","2003-08","-0.103522","4663410.330"
"4","2003-08","-0.023363","465676358.520"
"1","2003-08","-0.035782","763007071.860"
"8","2003-08","-0.021925","36019780.380"
"2","2003-09","-0.009935","4613168.970"
"4","2003-09","-0.045554","444964121.070"
"1","2003-09","-0.042066","743265867.590"
"8","2003-09","0.009179","36318129.950"
"2","2003-10","0.074196","4955450.150"
"4","2003-10","-0.039620","427293601.470"
"1","2003-10","-0.036842","722654269.930"
"8","2003-10","0.160227","42137280.470"
"2","2003-11","0.036589","5136769.720"
"4","2003-11","0.016354","436993802.550"
"1","2003-11","0.023336","749541788.500"
"8","2003-11","0.013815","42719426.620"
"2","2003-12","-0.049267","4883693.230"
"4","2003-12","0.016023","450777987.850"
"1","2003-12","0.033650","781984601.200"
"8","2003-12","0.029158","43965045.470"
"2","2004-01","0.091235","5391922.660"
"4","2004-01","0.071961","491991291.060"
"1","2004-01","0.076323","846053693.450"
"8","2004-01","0.065190","46831151.800"
"2","2004-02","0.037372","5593430.760"
"4","2004-02","0.092330","535515114.200"
"1","2004-02","0.059385","897384824.600"
"8","2004-02","0.029310","48203819.830"
"2","2004-03","-0.014340","5513217.380"
"4","2004-03","0.037121","557307929.510"
"1","2004-03","0.029477","935415217.450"
"8","2004-03","-0.000908","48322043.380"
"2","2004-04","-0.086524","5036191.680"
"4","2004-04","-0.113520","492691837.470"
"1","2004-04","-0.090859","857916011.840"
"8","2004-04","-0.129619","44313148.390"
"2","2004-05","-0.016983","4964195.600"
"4","2004-05","-0.015178","482399527.700"
"1","2004-05","-0.027409","837031688.800"
"8","2004-05","0.017596","44881252.850"
"2","2004-06","-0.166694","4105430.270"
"4","2004-06","-0.117511","430321737.500"
"1","2004-06","-0.110769","749897291.720"
"8","2004-06","-0.074617","41048633.660"
"2","2004-07","0.048830","4280710.750"
"4","2004-07","-0.003116","433428348.220"
"1","2004-07","-0.003673","757291039.700"
"8","2004-07","-0.018492","40381116.030"
"2","2004-08","-0.040352","4159907.210"
"4","2004-08","-0.048064","412790968.560"
"1","2004-08","-0.042371","731340085.000"
"8","2004-08","-0.089509","36718765.110"
"2","2004-09","0.056550","4392970.650"
"4","2004-09","0.062560","441480412.540"
