code,date,real,pred1,pred2,pred3,cum_ret_real,cum_ret1,cum_ret2,cum_ret3,invNorm_actual
000012,2022-03-09,-0.020699,-0.014623444892835083,-0.01422236247342763,-0.004540118376301874,-0.096374,-0.07677672057456372,-0.07485467689345028,-0.11471005385316313,-0.04453415072235398
000012,2022-03-10,0.040951,0.019611486731004366,0.027549503329310065,0.04132564874592434,-0.055423,-0.05716523384355935,-0.04730517356414022,-0.07338440510723879,0.007188758781639354
000012,2022-03-11,-0.0012690000000000002,0.005197760749919823,0.006975751102828024,-0.008930233443658425,-0.056692,-0.05196747309363953,-0.040329422461312193,-0.08231463855089721,0.0055203215847916265
000012,2022-03-14,-0.031766,-0.034535459372788506,-0.02685934612485832,-0.01714685237928998,-0.08845800000000001,-0.08650293246642804,-0.06718876858617051,-0.09946149093018719,-0.03619155466317858
000012,2022-03-15,-0.060367,-0.060597595648761764,-0.04437053399770987,0.0049032975639492216,-0.14882499999999999,-0.1471005281151898,-0.11155930258388039,-0.09455819336623797,-0.1129413480768886
000012,2022-03-16,0.02514,0.04389725287657384,0.040585452187499364,0.01786450454823338,-0.123685,-0.10320327523861596,-0.07097385039638102,-0.07669368881800459,-0.08290817470562539
000012,2022-03-17,0.029973,0.021056964386136863,0.026785221671502303,0.024177208640596776,-0.093712,-0.08214631085247909,-0.04418862872487872,-0.052516480177407815,-0.04620114739955179
000012,2022-03-18,0.055556,0.010654998678548275,0.03905646800600122,0.017081503257945913,-0.038155999999999995,-0.07149131217393082,-0.005132160718877503,-0.0354349769194619,0.02387590664199654
000012,2022-03-21,-0.017544,0.0032770916453375735,0.01761794346907326,0.023614428106131152,-0.0557,-0.06821422052859324,0.012485782750195757,-0.01182054881333075,0.0005168816183191705
000012,2022-03-22,-0.021684,-0.0004622421165628417,0.001886052118751238,-0.030568184472185747,-0.077384,-0.06867646264515609,0.014371834868946994,-0.0423887332855165,-0.027847854556096313
000012,2022-03-23,-0.0013040000000000005,0.004665347293468267,-0.00020080116039991342,-0.05316249334186175,-0.078688,-0.06401111535168783,0.014171033708547082,-0.09555122662737825,-0.029516617709945098
000012,2022-03-24,-0.018277,-0.009485903829412348,-0.011316520573069647,-0.028187604831187124,-0.096965,-0.07349701918110017,0.0028545131354774343,-0.12373883145856537,-0.052875747881042226
000012,2022-03-25,-0.022606,-0.016173414908579566,-0.021383486305941727,-0.0005527389558842993,-0.119571,-0.08967043408967973,-0.018528973170464293,-0.12429157041444967,-0.08123954824342225
000012,2022-03-28,-0.016327,-0.004165501134918645,-0.018241485644207276,-0.022101482913537238,-0.135898,-0.09383593522459838,-0.03677045881467157,-0.1463930533279869,-0.1012619722566955
000012,2022-03-29,-0.016598,-0.0055848556998981435,-0.02210636253569104,-0.031260433024529355,-0.152496,-0.09942079092449653,-0.05887682135036261,-0.17765348635251627,-0.1212844172994527
000012,2022-03-30,0.043601,0.026843850833362656,0.015555051834334293,0.0057901950196432295,-0.10889499999999999,-0.07257694009113387,-0.04332176951602831,-0.17186329133287304,-0.06956082433723129
000012,2022-03-31,0.0,-0.008173529538392746,-0.004773668414102455,-0.009755220098632472,-0.10889499999999999,-0.08075046962952662,-0.04809543793013077,-0.1816185114315055,-0.06956082433723129
000012,2022-04-01,-0.004043000000000001,0.009450877852444334,0.003157493696891489,-0.031198290899486086,-0.112938,-0.07129959177708228,-0.04493794423323928,-0.2128168023309916,-0.07456613592777452
000012,2022-04-06,0.010825,-0.000136296233705536,0.0012181799576521718,-0.016030565312776385,-0.102113,-0.07143588801078782,-0.04371976427558711,-0.22884736764376798,-0.061218775044638296
000012,2022-04-07,-0.022758,-0.020060750280398474,-0.015092348624749487,0.014928199764630973,-0.124871,-0.09149663829118629,-0.0588121129003366,-0.213919167879137,-0.089583416586376
000012,2022-04-08,0.016438,0.0019348916284249338,0.011547706406298132,0.02241934356329342,-0.108433,-0.08956174666276136,-0.047264406494038465,-0.1914998243158436,-0.06956202301781596
000012,2022-04-11,-0.045822,-0.03661532569735481,-0.025867831766456868,0.015065627442180096,-0.154255,-0.12617707236011616,-0.07313223826049534,-0.1764341968736635,-0.12629040183348186
000012,2022-04-12,-0.011299,0.019939920527209574,0.01684006708331344,-0.0043799998855812705,-0.165554,-0.10623715183290659,-0.056292171177181896,-0.18081419675924476,-0.1396377732313599
000012,2022-04-13,-0.025714,-0.01463709918196673,-0.013403369743710355,-0.021259567523991274,-0.191268,-0.12087425101487333,-0.06969554092089225,-0.20207376428323603,-0.16967018954120122
000012,2022-04-14,0.017595,0.015044951015207534,0.008800807843352243,-0.0016112790594982607,-0.173673,-0.10582929999966578,-0.06089473307754001,-0.2036850433427343,-0.14964869082522145
000012,2022-04-15,-0.012968,-0.009024366669094251,-0.015713564663435063,0.008821952630850421,-0.186641,-0.11485366666876004,-0.07660829774097506,-0.19486309071188387,-0.1646647307442705
000012,2022-04-18,0.00146,-0.003341972582480446,-0.012829249860137434,-0.009055337843618755,-0.185181,-0.11819563925124049,-0.0894375476011125,-0.20391842855550263,-0.16299606222309948
000012,2022-04-19,-0.011662000000000002,-0.0011177780494538497,-0.016349379448952695,-0.008594708027392567,-0.19684300000000002,-0.11931341730069434,-0.1057869270500652,-0.2125131365828952,-0.1763441906823994
000012,2022-04-20,-0.029499000000000004,-0.0195992423543622,-0.03379547079697758,0.001985814168473349,-0.22634200000000002,-0.13891265965505653,-0.1395823978470428,-0.21052732241442185,-0.2097144487421974
