code,date,pred,true
12,2022/3/8 0:00,-0.1515354365110397,-0.086110346019268
12,2022/3/9 0:00,-0.154752492904663,-0.1050269529223442
12,2022/3/10 0:00,-0.1254697889089584,-0.0683769136667251
12,2022/3/11 0:00,-0.1317976117134094,-0.0695591419935226
12,2022/3/14 0:00,-0.1439476013183593,-0.0991155207157135
12,2022/3/15 0:00,-0.1404732018709182,-0.1534992158412933
12,2022/3/16 0:00,-0.127814695239067,-0.1322181820869445
12,2022/3/17 0:00,-0.1106831058859825,-0.1062081605195999
12,2022/3/18 0:00,-0.0985794216394424,-0.0565526634454727
12,2022/3/21 0:00,-0.081846609711647,-0.0731045007705688
12,2022/3/22 0:00,-0.1035067439079284,-0.0932033061981201
12,2022/3/23 0:00,-0.1411768496036529,-0.0943857654929161
12,2022/3/24 0:00,-0.1611501425504684,-0.1109376773238182
12,2022/3/25 0:00,-0.1615418046712875,-0.1310358196496963
12,2022/3/28 0:00,-0.1772025674581527,-0.145223394036293
12,2022/3/29 0:00,-0.1993532180786132,-0.1594109833240509
12,2022/3/30 0:00,-0.1952503770589828,-0.122760459780693
12,2022/3/31 0:00,-0.2021627724170684,-0.122760459780693
12,2022/4/1 0:00,-0.2242693901062011,-0.1263071447610855
12,2022/4/6 0:00,-0.2356283962726593,-0.1168494150042533
12,2022/4/7 0:00,-0.2250505089759826,-0.1369481533765792
12,2022/4/8 0:00,-0.2091645151376724,-0.1227613091468811
12,2022/4/11 0:00,-0.198489248752594,-0.1629581451416015
12,2022/4/12 0:00,-0.2015928477048874,-0.1724158823490142
12,2022/4/13 0:00,-0.2166570425033569,-0.19369637966156
12,2022/4/14 0:00,-0.2177987694740295,-0.1795094609260559
12,2022/4/15 0:00,-0.2115476727485656,-0.1901495903730392
12,2022/4/18 0:00,-0.2179641425609588,-0.1889671981334686
12,2022/4/19 0:00,-0.224054217338562,-0.1984254717826843
12,2022/4/20 0:00,-0.2226471006870269,-0.22207111120224
12,2022/4/21 0:00,-0.2433926463127136,-0.2610858082771301
12,2022/4/22 0:00,-0.2834940552711487,-0.2693616449832916
12,2022/4/25 0:00,-0.3203124105930328,-0.3296568393707275
12,2022/4/26 0:00,-0.3152185082435608,-0.356848657131195
12,2022/4/27 0:00,-0.2972629070281982,-0.340297132730484
12,2022/4/28 0:00,-0.3218307495117187,-0.3473909199237823
12,2022/4/29 0:00,-0.2869448959827423,-0.3355682492256164
12,2022/5/5 0:00,-0.2644806206226349,-0.3166518807411194
12,2022/5/6 0:00,-0.3233138918876648,-0.3332032561302185
12,2022/5/9 0:00,-0.3660524785518646,-0.3284743428230285
12,2022/5/10 0:00,-0.3359790444374084,-0.3190158903598785
12,2022/5/11 0:00,-0.2929984927177429,-0.3119221031665802
12,2022/5/12 0:00,-0.3064276874065399,-0.3107399642467499
12,2022/5/13 0:00,-0.3110326826572418,-0.2965529263019562
12,2022/5/16 0:00,-0.3059136867523193,-0.3142868280410766
12,2022/5/17 0:00,-0.3074333071708679,-0.30482879281044
12,2022/5/18 0:00,-0.3083809614181518,-0.3000995516777038
12,2022/5/19 0:00,-0.2805547714233398,-0.2800011932849884
12,2022/5/20 0:00,-0.2602696716785431,-0.2729077637195587
12,2022/5/23 0:00,-0.2723436057567596,-0.2705432772636413
12,2022/5/24 0:00,-0.2692921161651611,-0.298917680978775
12,2022/5/25 0:00,-0.3053027391433716,-0.2882773578166961
12,2022/5/26 0:00,-0.3356776535511017,-0.283547967672348
12,2022/5/27 0:00,-0.3311757445335388,-0.2823657989501953
12,2022/5/30 0:00,-0.3311970829963684,-0.2764546573162079
12,2022/5/31 0:00,-0.2987278997898102,-0.2646319270133972
12,2022/6/1 0:00,-0.3089969456195831,-0.2729077637195587
12,2022/6/2 0:00,-0.2712731063365936,-0.2539917230606079
12,2022/6/6 0:00,-0.2580046951770782,-0.2492627799510955
12,2022/6/7 0:00,-0.2225213944911956,-0.2445338815450668
12,2022/6/8 0:00,-0.2328687608242035,-0.2516277134418487
12,2022/6/9 0:00,-0.2548357844352722,-0.2693618834018707
12,2022/6/10 0:00,-0.2434847056865692,-0.252810001373291
12,2022/6/13 0:00,-0.2366319596767425,-0.2516279518604278
12,2022/6/14 0:00,-0.2346129417419433,-0.252810388803482
12,2022/6/15 0:00,-0.1866753101348877,-0.2090669125318527
12,2022/6/16 0:00,-0.1949913203716278,-0.2055203765630722
12,2022/6/17 0:00,-0.1614778637886047,-0.1700524240732193
12,2022/6/20 0:00,-0.1503565609455108,-0.1771459877490997
12,2022/6/21 0:00,-0.1543120145797729,-0.1688705384731292
12,2022/6/22 0:00,-0.1280910223722458,-0.1203982383012771
12,2022/6/23 0:00,-0.119576558470726,-0.0943884178996086
12,2022/6/24 0:00,-0.0925340503454208,-0.0778374597430229
12,2022/6/27 0:00,-0.120073065161705,-0.0936110466718673
12,2022/6/28 0:00,-0.1274619698524475,-0.0996775105595588
12,2022/6/29 0:00,-0.1327035576105117,-0.1118111535906791
12,2022/6/30 0:00,-0.1415797621011734,-0.0996776074171066
12,2022/7/1 0:00,-0.1390577405691146,-0.1166648939251899
12,2022/7/4 0:00,-0.1305845826864242,-0.114238366484642
12,2022/7/5 0:00,-0.1166118755936622,-0.1093852818012237
12,2022/7/6 0:00,-0.1218933463096618,-0.1287989020347595
12,2022/7/7 0:00,-0.1314041018486023,-0.1312260627746582
12,2022/7/8 0:00,-0.1399348080158233,-0.1385063976049423
12,2022/7/11 0:00,-0.1743187308311462,-0.1664136201143264
12,2022/7/12 0:00,-0.2048037946224212,-0.1773335933685302
