date,ret,r_m,total_MV,PB,DivYield,PS,open,high,low,close,volume,turnover,BIAS,CCI,EMV,MA10,MA20,MACD,MTM6,MTM12,RSI,TRIX,VOSC,VRSI,VWAP
2016/1/11 0:00,-0.0830697,-0.061435,-0.09150064071757849,0.3082138559,-0.6078981186,0.1141102225,0.7198576576393043,0.6989797031534019,0.5497172630213554,0.5120856241290437,0.028540325621285324,0.6121328589,-0.7531707336,-0.007146121400000004,-0.2644379895,0.2727799587,0.2763058032,-0.13265905400000003,-0.5401392655999999,0.02481486739999999,-0.4269400075,0.04144015379999999,0.08670514779999998,-0.6002054567,0.1816953713
2016/1/12 0:00,0.010411,0.002505,-0.07604435943314684,0.3122331828,-0.6126013147,0.10639592430000003,0.5193681071522149,0.533182844160305,0.46583136707155387,0.5243334848999319,-0.2003151609068719,0.5846324961,-0.75313358,0.03400620070000001,-0.40291997430000004,0.2487565623,0.28925573130000004,-0.23639994560000002,-0.5792414786,-0.127337588,-0.5202429468,-0.0164276468,0.024821871000000006,-0.17496865479999996,0.18535932530000004
2016/1/13 0:00,-0.0544261,-0.028971000000000004,-0.196099511375516,0.2838140235,-0.6012622948999999,0.09827121090000004,0.5446088294726144,0.5248940954606295,0.4185741047930951,0.37538329254541825,-0.21945726424966977,0.6371755853,-0.8855260198,-0.1626724713,-0.4563658977,0.229774596,0.28656385360000003,-0.3623677049,-0.5578404963,-0.410472081,-0.6266494676,-0.1474205558,-0.06674480360000001,-0.1294363685,0.1694573664
2016/1/14 0:00,0.0496773,0.026798,-0.09123669085457722,0.284434987,-0.618819781,0.10946096340000003,0.2886040361775529,0.4723449586412398,0.2705355690936802,0.5046250241783391,-0.10787731365575337,0.5978772773000001,-0.8536509656,-0.27478366029999995,-0.5081593962,0.22221568100000005,0.28656385360000003,-0.4050009453,-0.570959376,-0.5395859198,-0.5303729962,-0.2521720318,-0.1524802361,0.08024558420000001,0.13904429140000002
2016/1/15 0:00,-0.0455474,-0.037463,-0.22483490914868615,0.2558911799,-0.5996369578999999,0.11523230129999999,0.4765568783686883,0.4727725057470388,0.37295086522590226,0.3467860737517746,-0.09439894908065789,0.7024001934999999,-0.8154226885,-0.1128663939,-0.5575009383999999,0.1958200513,0.28656385360000003,-0.452818614,-0.6065644333,-0.595964093,-0.41078815309999994,-0.3477445859,-0.2310309377,0.4742805836,0.1304947549
2016/1/18 0:00,0.0229654,0.009924,-0.17132637738487783,0.2663029855,-0.6121597302999999,0.12005223440000001,0.29132671173972957,0.4088214981521506,0.31395111070258297,0.4143586599117134,-0.35088679317027793,0.6473744235,-0.6808975583000001,0.0985245599,-0.6486447072,0.16872742890000003,0.2829507488,-0.4728449069,-0.6142709763,-0.5878034045,-0.1592243167,-0.4227612293,-0.3028632863,-0.04886844579999999,0.12009390170000003
2016/1/19 0:00,0.0494566,0.035929,-0.061547449678881004,0.2956024405,-0.6185033289999999,0.1360294698,0.42940582666774657,0.522945692928894,0.43451532184829234,0.5442393308090681,-0.04981227033232078,0.6902842237,-0.30255613929999997,0.0760353349,-0.6128915291,0.1564645983,0.256003031,-0.486519601,-0.6053497917999999,-0.5979425625,-0.1353176826,-0.5096520243,-0.3660420157,0.4363086075,0.136021718
2016/1/20 0:00,-0.015031199999999998,-0.011414,-0.11404517336887113,0.29151100980000005,-0.6126830337,0.11891239170000004,0.5222479718012887,0.5277038353093022,0.5133721911449298,0.4909827765480582,-0.02432906416140716,0.8058873319,-0.2803831844,0.05187477659999997,-0.5678380789,0.15664587850000006,0.2421144031,-0.5036066284,-0.6061233587,-0.5908490527000001,-0.17860032909999998,-0.5621957631,-0.3313880036,0.5001875269999999,0.14601919730000001
2016/1/21 0:00,-0.0517713,-0.036522,-0.2290028112415031,0.27454185680000004,-0.6027102594,0.1189308558,0.4335973628863744,0.4761568320526912,0.3920313663141744,0.35192197350861454,-0.20712779883169602,0.7244509634,-0.4403008305,0.1105423982,-0.6185069016,0.1451443942,0.22879391680000002,-0.5434959957000001,-0.6457098837,-0.5955992552,-0.13358548530000003,-0.5977440893,-0.3458659402,0.002947999400000012,0.13953375440000002
2016/1/22 0:00,0.0282555,0.013804,-0.16075849754883337,0.2842181607,-0.6121689875999999,0.1369314093,0.39272232276813523,0.4076730432045297,0.3732515471528344,0.4385772112196893,-0.4159828819032456,0.6487467236,-0.1331347184,0.04675601869999997,-0.7858033448,0.14024063530000003,0.2188664621,-0.553307518,-0.6189899349999999,-0.5848920095000001,-0.023378997800000002,-0.6305734999,-0.32968509139999996,-0.298185362,0.14140721080000002
2016/1/25 0:00,0.014419999999999999,0.008842,-0.11279242637712991,0.27595812380000007,-0.6206264316000001,0.1312403768,0.4714704576747099,0.48012350795339576,0.4756566708560652,0.48572641622558077,-0.3485636392086815,0.8248114414,0.11541988839999998,0.09030904709999998,-0.6880148567,0.14135228440000003,0.20902581150000002,-0.5403101394000001,-0.6263782092,-0.5854416592,0.06890935990000004,-0.6586852685,-0.24564549900000002,0.2547800899,0.1595263805
2016/1/26 0:00,-0.0702273,-0.070419,-0.2625218830746994,0.2758293325,-0.6079882974999999,0.1256443545,0.45038282439918176,0.4707601673298597,0.31740608611995624,0.31552046568683734,-0.03562651796378756,0.7790016381,0.0746847198,0.2426503705,-0.5513734748,0.1443386552,0.20629417440000003,-0.5317450041,-0.5540524376,-0.5842302267,0.3244868661,-0.6839489124,-0.1956289173,-0.2236972051,0.1593709007
