"SgnDate","Term_EN","Shibor"
"2017-02-03","7 days","2.65200"
"2017-02-03","9 months","3.77050"
"2017-02-03","90 days","3.91750"
"2017-02-03","6 months","3.87800"
"2017-02-03","14 days","3.06750"
"2017-02-03","1 year","3.78600"
"2017-02-04","14 days","3.04340"
"2017-02-04","1 day","2.25710"
"2017-02-04","1 year","3.82140"
"2017-02-04","30 days","3.89070"
"2017-02-04","6 months","3.90390"
"2017-02-04","7 days","2.64800"
"2017-02-04","90 days","3.93480"
"2017-02-04","9 months","3.80920"
"2017-02-06","6 months","3.91950"
"2017-02-06","1 year","3.85420"
"2017-02-06","9 months","3.84700"
"2017-02-06","90 days","3.94970"
"2017-02-06","30 days","3.90310"
"2017-02-06","14 days","3.05620"
"2017-02-06","1 day","2.27800"
"2017-02-06","7 days","2.62800"
"2017-02-07","14 days","3.06700"
"2017-02-07","1 year","3.88200"
"2017-02-07","9 months","3.87510"
"2017-02-07","1 day","2.28100"
"2017-02-07","90 days","4.01600"
"2017-02-07","30 days","3.93040"
"2017-02-07","6 months","3.94290"
"2017-02-07","7 days","2.62830"
"2017-02-08","30 days","3.96010"
"2017-02-08","1 day","2.27650"
"2017-02-08","7 days","2.63300"
"2017-02-08","9 months","3.88820"
"2017-02-08","90 days","4.10940"
"2017-02-08","6 months","3.97220"
"2017-02-08","14 days","3.08560"
"2017-02-08","1 year","3.90190"
"2017-02-09","14 days","3.09190"
"2017-02-09","1 day","2.27200"
"2017-02-09","1 year","3.91680"
"2017-02-09","30 days","3.98390"
"2017-02-09","6 months","4.00450"
"2017-02-09","7 days","2.63400"
"2017-02-09","90 days","4.14400"
"2017-02-09","9 months","3.90840"
"2017-02-10","1 year","3.93520"
"2017-02-10","14 days","3.09110"
"2017-02-10","1 day","2.26780"
"2017-02-10","30 days","3.99380"
"2017-02-10","6 months","4.02170"
"2017-02-10","90 days","4.17270"
"2017-02-10","9 months","3.92880"
"2017-02-10","7 days","2.62330"
"2017-02-13","1 day","2.26400"
"2017-02-13","30 days","4.00520"
"2017-02-13","6 months","4.07000"
"2017-02-13","14 days","3.09700"
"2017-02-13","1 year","3.95300"
"2017-02-13","7 days","2.62300"
"2017-02-13","90 days","4.20290"
"2017-02-13","9 months","3.95030"
"2017-02-14","9 months","3.96680"
"2017-02-14","90 days","4.21480"
"2017-02-14","14 days","3.09880"
"2017-02-14","6 months","4.10120"
"2017-02-14","1 day","2.26100"
"2017-02-14","7 days","2.62080"
"2017-02-14","1 year","3.96800"
"2017-02-14","30 days","4.01600"
"2017-02-15","14 days","3.10330"
"2017-02-15","1 day","2.26580"
"2017-02-15","30 days","4.03120"
"2017-02-15","90 days","4.23940"
"2017-02-15","6 months","4.13810"
"2017-02-15","9 months","3.98350"
"2017-02-15","1 year","3.98460"
"2017-02-15","7 days","2.62700"
"2017-02-16","30 days","4.05160"
"2017-02-16","6 months","4.14630"
"2017-02-16","90 days","4.25180"
"2017-02-16","9 months","3.99240"
"2017-02-16","1 day","2.33300"
"2017-02-16","14 days","3.10980"
"2017-02-16","1 year","3.99060"
"2017-02-16","7 days","2.64350"
"2017-02-17","1 day","2.36000"
"2017-02-17","30 days","4.06520"
"2017-02-17","6 months","4.15670"
"2017-02-17","14 days","3.11320"
"2017-02-17","1 year","4.00050"
"2017-02-17","7 days","2.66400"
"2017-02-17","90 days","4.25670"
"2017-02-17","9 months","4.00070"
"2017-02-20","9 months","4.00570"
"2017-02-20","90 days","4.26220"
"2017-02-20","14 days","3.12950"
"2017-02-20","6 months","4.16650"
"2017-02-20","1 day","2.40860"
"2017-02-20","7 days","2.67500"
"2017-02-20","1 year","4.00640"
"2017-02-20","30 days","4.07500"
"2017-02-21","14 days","3.13880"
"2017-02-21","1 day","2.48300"
"2017-02-21","30 days","4.08200"
"2017-02-21","90 days","4.27040"
"2017-02-21","6 months","4.17550"
"2017-02-21","9 months","4.00910"
"2017-02-21","1 year","4.01020"
"2017-02-21","7 days","2.69100"
"2017-02-22","30 days","4.08500"
"2017-02-22","6 months","4.18240"
"2017-02-22","90 days","4.27780"
"2017-02-22","9 months","4.01550"
"2017-02-22","1 day","2.48450"
"2017-02-22","14 days","3.14200"
"2017-02-22","1 year","4.02250"
"2017-02-22","7 days","2.70600"
"2017-02-23","1 day","2.52710"
"2017-02-23","30 days","4.09300"
"2017-02-23","6 months","4.18810"
"2017-02-23","14 days","3.14600"
"2017-02-23","1 year","4.03050"
"2017-02-23","7 days","2.71600"
"2017-02-23","90 days","4.28400"
"2017-02-23","9 months","4.02450"
"2017-02-24","9 months","4.03340"
"2017-02-24","90 days","4.28290"
"2017-02-24","14 days","3.15000"
"2017-02-24","6 months","4.19000"
"2017-02-24","1 day","2.47560"
"2017-02-24","7 days","2.72500"
"2017-02-24","1 year","4.03620"
"2017-02-24","30 days","4.09100"
"2017-02-27","9 months","4.03530"
"2017-02-27","7 days","2.71100"
"2017-02-27","90 days","4.28040"
"2017-02-27","30 days","4.08200"
"2017-02-27","6 months","4.19220"
"2017-02-27","14 days","3.15000"
"2017-02-27","1 day","2.43380"
"2017-02-27","1 year","4.04070"
"2017-02-28","14 days","3.15800"
"2017-02-28","30 days","4.08000"
"2017-02-28","7 days","2.72800"
"2017-02-28","1 year","4.04670"
"2017-02-28","1 day","2.49300"
"2017-02-28","6 months","4.19600"
"2017-02-28","90 days","4.28410"
"2017-02-28","9 months","4.04370"
"2017-03-01","90 days","4.28810"
"2017-03-01","1 year","4.04970"
"2017-03-01","6 months","4.19980"
"2017-03-01","1 day","2.49430"
"2017-03-01","9 months","4.04540"
"2017-03-01","14 days","3.16300"
"2017-03-01","30 days","4.07630"
"2017-03-01","7 days","2.72900"
"2017-03-02","30 days","4.08300"
"2017-03-02","14 days","3.16700"
"2017-03-02","1 year","4.04920"
"2017-03-02","6 months","4.20000"
"2017-03-02","1 day","2.46110"
"2017-03-02","7 days","2.73200"
"2017-03-02","90 days","4.29040"
"2017-03-02","9 months","4.04870"
"2017-03-03","9 months","4.04990"
"2017-03-03","7 days","2.65900"
"2017-03-03","90 days","4.29050"
"2017-03-03","14 days","3.13800"
"2017-03-03","1 day","2.36900"
"2017-03-03","30 days","4.08510"
"2017-03-03","6 months","4.20020"
"2017-03-03","1 year","4.05100"
"2017-03-06","1 year","4.05110"
"2017-03-06","1 day","2.40330"
"2017-03-06","6 months","4.20100"
"2017-03-06","90 days","4.29250"
"2017-03-06","9 months","4.05100"
"2017-03-06","14 days","3.13700"
"2017-03-06","30 days","4.09510"
"2017-03-06","7 days","2.64600"
"2017-03-07","30 days","4.10160"
"2017-03-07","7 days","2.64400"
"2017-03-07","90 days","4.29180"
"2017-03-07","1 year","4.05270"
"2017-03-07","6 months","4.20100"
"2017-03-07","1 day","2.40410"
"2017-03-07","9 months","4.05160"
"2017-03-07","14 days","3.14000"
"2017-03-08","30 days","4.10520"
"2017-03-08","14 days","3.15600"
"2017-03-08","1 year","4.05360"
"2017-03-08","6 months","4.20100"
"2017-03-08","1 day","2.40610"
"2017-03-08","7 days","2.65500"
"2017-03-08","90 days","4.29320"
"2017-03-08","9 months","4.05270"
"2017-03-09","9 months","4.05670"
"2017-03-09","7 days","2.65900"
"2017-03-09","90 days","4.29430"
"2017-03-09","14 days","3.15900"
