"SgnDate","Term_EN","Shibor"
"2017-09-21","7 days","2.86900"
"2017-09-21","1 day","2.80570"
"2017-09-21","6 months","4.39190"
"2017-09-21","9 months","4.39700"
"2017-09-21","14 days","3.76390"
"2017-09-22","9 months","4.39900"
"2017-09-22","30 days","3.99080"
"2017-09-22","7 days","2.85800"
"2017-09-22","90 days","4.36110"
"2017-09-22","6 months","4.39000"
"2017-09-22","14 days","3.76590"
"2017-09-22","1 day","2.75600"
"2017-09-22","1 year","4.40280"
"2017-09-25","7 days","2.89870"
"2017-09-25","90 days","4.35780"
"2017-09-25","14 days","3.77190"
"2017-09-25","30 days","3.99410"
"2017-09-25","1 year","4.40330"
"2017-09-25","1 day","2.75800"
"2017-09-25","6 months","4.38840"
"2017-09-25","9 months","4.39770"
"2017-09-26","6 months","4.38750"
"2017-09-26","1 year","4.40400"
"2017-09-26","9 months","4.39780"
"2017-09-26","7 days","2.92910"
"2017-09-26","90 days","4.35580"
"2017-09-26","30 days","4.00620"
"2017-09-26","1 day","2.83700"
"2017-09-26","14 days","3.78110"
"2017-09-27","90 days","4.35650"
"2017-09-27","1 year","4.40480"
"2017-09-27","30 days","4.01740"
"2017-09-27","7 days","2.94940"
"2017-09-27","1 day","2.86300"
"2017-09-27","6 months","4.38750"
"2017-09-27","9 months","4.39900"
"2017-09-27","14 days","3.79100"
"2017-09-28","9 months","4.39800"
"2017-09-28","30 days","4.05650"
"2017-09-28","7 days","2.96750"
"2017-09-28","90 days","4.35600"
"2017-09-28","6 months","4.38660"
"2017-09-28","14 days","3.79290"
"2017-09-28","1 day","2.91700"
"2017-09-28","1 year","4.40490"
"2017-09-29","7 days","2.96390"
"2017-09-29","90 days","4.35610"
"2017-09-29","14 days","3.80770"
"2017-09-29","30 days","4.07430"
"2017-09-29","1 year","4.40430"
"2017-09-29","1 day","2.80400"
"2017-09-29","6 months","4.38650"
"2017-09-29","9 months","4.39760"
"2017-09-30","6 months","4.38630"
"2017-09-30","1 year","4.40400"
"2017-09-30","9 months","4.39750"
"2017-09-30","7 days","2.96710"
"2017-09-30","90 days","4.35650"
"2017-09-30","30 days","4.06930"
"2017-09-30","1 day","2.93800"
"2017-09-30","14 days","3.81940"
"2017-10-09","90 days","4.35020"
"2017-10-09","1 year","2.92010"
"2017-10-09","30 days","4.38780"
"2017-10-09","7 days","4.40300"
"2017-10-09","1 day","2.74000"
"2017-10-09","6 months","4.06140"
"2017-10-09","9 months","3.81800"
"2017-10-09","14 days","4.39900"
"2017-10-10","1 year","4.40300"
"2017-10-10","30 days","4.05600"
"2017-10-10","7 days","2.93900"
"2017-10-10","1 day","2.73800"
"2017-10-10","6 months","4.38680"
"2017-10-10","9 months","4.39800"
"2017-10-10","90 days","4.35410"
"2017-10-10","14 days","3.81300"
"2017-10-11","30 days","4.05200"
"2017-10-11","6 months","4.38720"
"2017-10-11","14 days","3.80970"
"2017-10-11","1 day","2.74100"
"2017-10-11","1 year","4.40250"
"2017-10-11","7 days","2.92470"
"2017-10-11","90 days","4.35550"
"2017-10-11","9 months","4.39830"
"2017-10-12","14 days","3.80970"
"2017-10-12","30 days","4.05200"
"2017-10-12","1 year","4.40250"
"2017-10-12","1 day","2.74100"
"2017-10-12","6 months","4.38720"
"2017-10-12","9 months","4.39830"
"2017-10-12","7 days","2.92470"
"2017-10-12","90 days","4.35550"
"2017-10-13","7 days","2.85160"
"2017-10-13","90 days","4.35990"
"2017-10-13","30 days","4.04900"
"2017-10-13","6 months","4.38680"
"2017-10-13","1 year","4.40170"
"2017-10-13","9 months","4.39800"
"2017-10-13","1 day","2.60500"
"2017-10-13","14 days","3.79230"
"2017-10-16","1 year","4.40120"
"2017-10-16","30 days","4.04270"
"2017-10-16","7 days","2.84800"
"2017-10-16","1 day","2.59400"
"2017-10-16","6 months","4.38750"
"2017-10-16","9 months","4.39780"
"2017-10-16","14 days","3.77840"
"2017-10-16","90 days","4.36680"
"2017-10-17","7 days","2.84830"
"2017-10-17","90 days","4.37110"
"2017-10-17","9 months","4.39790"
"2017-10-17","30 days","4.03560"
"2017-10-17","6 months","4.38800"
"2017-10-17","14 days","3.77320"
"2017-10-17","1 day","2.60030"
"2017-10-17","1 year","4.40150"
"2017-10-18","14 days","3.77190"
"2017-10-18","30 days","4.03420"
"2017-10-18","1 year","4.40180"
"2017-10-18","1 day","2.59600"
"2017-10-18","6 months","4.38870"
"2017-10-18","9 months","4.39780"
"2017-10-18","7 days","2.84680"
"2017-10-18","90 days","4.37290"
"2017-10-19","6 months","4.38920"
"2017-10-19","30 days","4.02850"
"2017-10-19","9 months","4.39770"
"2017-10-19","1 year","4.40160"
"2017-10-19","1 day","2.59200"
"2017-10-19","14 days","3.77580"
"2017-10-19","7 days","2.84050"
"2017-10-19","90 days","4.37370"
"2017-10-20","7 days","2.83790"
"2017-10-20","90 days","4.37580"
"2017-10-20","14 days","3.78120"
"2017-10-20","30 days","4.02350"
"2017-10-20","6 months","4.38830"
"2017-10-20","1 year","4.40320"
"2017-10-20","9 months","4.39900"
"2017-10-20","1 day","2.57820"
"2017-10-23","1 day","2.61600"
"2017-10-23","1 year","4.40320"
"2017-10-23","30 days","4.02000"
"2017-10-23","6 months","4.38880"
"2017-10-23","14 days","3.78790"
"2017-10-23","9 months","4.39800"
"2017-10-23","90 days","4.37930"
"2017-10-23","7 days","2.83410"
"2017-10-24","14 days","3.79500"
"2017-10-24","7 days","2.83430"
"2017-10-24","90 days","4.38030"
"2017-10-24","1 year","4.40170"
"2017-10-24","30 days","4.01860"
"2017-10-24","6 months","4.38920"
"2017-10-24","1 day","2.63400"
"2017-10-24","9 months","4.39800"
"2017-10-25","14 days","3.80200"
"2017-10-25","1 year","4.40290"
"2017-10-25","90 days","4.38300"
"2017-10-25","1 day","2.66400"
"2017-10-25","9 months","4.39800"
"2017-10-25","30 days","4.01880"
"2017-10-25","6 months","4.38910"
"2017-10-25","7 days","2.85940"
"2017-10-26","14 days","3.80700"
"2017-10-26","1 day","2.69370"
"2017-10-26","30 days","4.01900"
"2017-10-26","90 days","4.38450"
"2017-10-26","7 days","2.86990"
"2017-10-26","6 months","4.39160"
"2017-10-26","9 months","4.39880"
"2017-10-26","1 year","4.40490"
"2017-10-27","9 months","4.40010"
"2017-10-27","7 days","2.87880"
"2017-10-27","1 year","4.40450"
"2017-10-27","14 days","3.82060"
"2017-10-27","1 day","2.71810"
"2017-10-27","90 days","4.39010"
"2017-10-27","6 months","4.39260"
"2017-10-27","30 days","4.01940"
"2017-10-30","14 days","3.83430"
"2017-10-30","1 day","2.72000"
"2017-10-30","7 days","2.88800"
"2017-10-30","90 days","4.39260"
"2017-10-30","6 months","4.39360"
"2017-10-30","1 year","4.41070"
"2017-10-30","9 months","4.40200"
"2017-10-30","30 days","4.02000"
"2017-10-31","14 days","3.84600"
"2017-10-31","1 year","4.41760"
"2017-10-31","90 days","4.39540"
"2017-10-31","1 day","2.73600"
"2017-10-31","9 months","4.40630"
"2017-10-31","30 days","4.02700"
"2017-10-31","6 months","4.39780"
"2017-10-31","7 days","2.89400"
"2017-11-01","14 days","3.85000"
"2017-11-01","1 day","2.73900"
"2017-11-01","30 days","4.02900"
"2017-11-01","90 days","4.40800"
"2017-11-01","7 days","2.89400"
"2017-11-01","6 months","4.40340"
"2017-11-01","9 months","4.41140"
"2017-11-01","1 year","4.42230"
"2017-11-02","9 months","4.41710"
"2017-11-02","7 days","2.85900"
"2017-11-02","1 year","4.42870"
"2017-11-02","14 days","3.83600"
"2017-11-02","1 day","2.62600"
"2017-11-02","90 days","4.40990"
"2017-11-02","6 months","4.41010"
"2017-11-02","30 days","4.02890"
"2017-11-03","14 days","3.82870"
"2017-11-03","1 day","2.57720"
"2017-11-03","7 days","2.82490"
"2017-11-03","90 days","4.42170"
"2017-11-03","6 months","4.41650"
"2017-11-03","1 year","4.43380"
"2017-11-03","9 months","4.42350"
"2017-11-03","30 days","4.01330"
"2017-11-06","14 days","3.81220"
"2017-11-06","1 year","4.43640"
"2017-11-06","90 days","4.42940"
"2017-11-06","1 day","2.51200"
"2017-11-06","9 months","4.42370"
"2017-11-06","30 days","4.00590"
"2017-11-06","6 months","4.42970"
"2017-11-06","7 days","2.79700"
"2017-11-07","14 days","3.79990"
"2017-11-07","1 day","2.55200"
"2017-11-07","30 days","3.99750"
"2017-11-07","90 days","4.43140"
"2017-11-07","7 days","2.78780"
"2017-11-07","6 months","4.43190"
"2017-11-07","9 months","4.42550"
"2017-11-07","1 year","4.44020"
"2017-11-08","6 months","4.43900"
"2017-11-08","1 year","4.44220"
"2017-11-08","9 months","4.43450"
"2017-11-08","14 days","3.79800"
"2017-11-08","1 day","2.59500"
"2017-11-08","7 days","2.78920"
"2017-11-08","90 days","4.43770"
"2017-11-08","30 days","3.99350"
"2017-11-09","1 day","2.64600"
"2017-11-09","30 days","4.00340"
"2017-11-09","7 days","2.81100"
"2017-11-09","90 days","4.45680"
"2017-11-09","14 days","3.80000"
"2017-11-09","6 months","4.44890"
"2017-11-09","1 year","4.44970"
"2017-11-09","9 months","4.44030"
"2017-11-10","1 day","2.71700"
"2017-11-10","6 months","4.45690"
"2017-11-10","9 months","4.44820"
"2017-11-10","14 days","3.81200"
"2017-11-10","1 year","4.45730"
"2017-11-10","30 days","4.01040"
"2017-11-10","7 days","2.84550"
"2017-11-10","90 days","4.47470"
"2017-11-13","30 days","4.01320"
"2017-11-13","6 months","4.46750"
"2017-11-13","7 days","2.85920"
"2017-11-13","90 days","4.51550"
"2017-11-13","14 days","3.82280"
"2017-11-13","1 day","2.78700"
"2017-11-13","1 year","4.46610"
"2017-11-13","9 months","4.45830"
"2017-11-14","1 day","2.82700"
"2017-11-14","6 months","4.49680"
"2017-11-14","9 months","4.46860"
"2017-11-14","14 days","3.83300"
"2017-11-14","30 days","4.01440"
"2017-11-14","1 year","4.47780"
"2017-11-14","7 days","2.87650"
"2017-11-14","90 days","4.53460"
"2017-11-15","1 day","2.80600"
"2017-11-15","1 year","4.50180"
"2017-11-15","30 days","4.01640"
"2017-11-15","6 months","4.52270"
"2017-11-15","7 days","2.88600"
"2017-11-15","90 days","4.54550"
"2017-11-15","14 days","3.84000"
"2017-11-15","9 months","4.49460"
"2017-11-16","6 months","4.54370"
"2017-11-16","9 months","4.52250"
"2017-11-16","14 days","3.84300"
"2017-11-16","1 day","2.80000"
"2017-11-16","1 year","4.54320"
"2017-11-16","30 days","4.02700"
"2017-11-16","7 days","2.88600"
"2017-11-16","90 days","4.56560"
"2017-11-17","30 days","4.03070"
"2017-11-17","6 months","4.58040"
"2017-11-17","7 days","2.86500"
"2017-11-17","1 day","2.73800"
"2017-11-17","14 days","3.84600"
"2017-11-17","1 year","4.57040"
"2017-11-17","90 days","4.60160"
"2017-11-17","9 months","4.55530"
"2017-11-20","6 months","4.60600"
"2017-11-20","7 days","2.85900"
"2017-11-20","9 months","4.56360"
"2017-11-20","90 days","4.62220"
"2017-11-20","1 year","4.57500"
"2017-11-20","14 days","3.85000"
"2017-11-20","1 day","2.78600"
"2017-11-20","30 days","4.03010"
"2017-11-21","14 days","3.85300"
"2017-11-21","1 day","2.80800"
"2017-11-21","90 days","4.62430"
"2017-11-21","9 months","4.56940"
"2017-11-21","7 days","2.86100"
"2017-11-21","1 year","4.58350"
"2017-11-21","6 months","4.60860"
"2017-11-21","30 days","4.03510"
"2017-11-22","9 months","4.58200"
"2017-11-22","14 days","3.86000"
"2017-11-22","1 day","2.80900"
"2017-11-22","6 months","4.61590"
"2017-11-22","7 days","2.86800"
"2017-11-22","90 days","4.63750"
"2017-11-22","1 year","4.59040"
"2017-11-22","30 days","4.03760"
"2017-11-23","30 days","4.03880"
"2017-11-23","6 months","4.62360"
"2017-11-23","9 months","4.58620"
"2017-11-23","90 days","4.65180"
"2017-11-23","1 day","2.80300"
"2017-11-23","14 days","3.87000"
"2017-11-23","1 year","4.59710"
"2017-11-23","7 days","2.87100"
"2017-11-24","1 year","4.60180"
"2017-11-24","14 days","3.87200"
"2017-11-24","9 months","4.59070"
"2017-11-24","7 days","2.87300"
"2017-11-24","90 days","4.67220"
"2017-11-24","30 days","4.03790"
"2017-11-24","6 months","4.63440"
"2017-11-24","1 day","2.79700"
"2017-11-27","6 months","4.64950"
"2017-11-27","14 days","3.87500"
"2017-11-27","1 day","2.81900"
"2017-11-27","30 days","4.03680"
"2017-11-27","1 year","4.60720"
"2017-11-27","7 days","2.88300"
"2017-11-27","90 days","4.71030"
"2017-11-27","9 months","4.59750"
"2017-11-28","1 year","4.61380"
"2017-11-28","14 days","3.87900"
"2017-11-28","90 days","4.72800"
"2017-11-28","9 months","4.60280"
"2017-11-28","7 days","2.88300"
"2017-11-28","1 day","2.79900"
"2017-11-28","30 days","4.03670"
"2017-11-28","6 months","4.66600"
"2017-11-29","30 days","4.03700"
"2017-11-29","6 months","4.67960"
"2017-11-29","1 day","2.68300"
"2017-11-29","14 days","3.88100"
"2017-11-29","1 year","4.61940"
"2017-11-29","7 days","2.87700"
"2017-11-29","9 months","4.60930"
"2017-11-29","90 days","4.74380"
"2017-11-30","1 year","4.62900"
"2017-11-30","14 days","3.88400"
"2017-11-30","9 months","4.62000"
"2017-11-30","7 days","2.89800"
"2017-11-30","90 days","4.75940"
"2017-11-30","30 days","4.07200"
"2017-11-30","6 months","4.70300"
"2017-11-30","1 day","2.78800"
"2017-12-01","6 months","4.70930"
"2017-12-01","14 days","3.87600"
"2017-12-01","1 day","2.64200"
"2017-12-01","30 days","4.16320"
"2017-12-01","1 year","4.63290"
"2017-12-01","7 days","2.85100"
"2017-12-01","90 days","4.76390"
"2017-12-01","9 months","4.62300"
"2017-12-04","1 year","4.63830"
"2017-12-04","14 days","3.86000"
"2017-12-04","90 days","4.78040"
"2017-12-04","9 months","4.62730"
"2017-12-04","7 days","2.81600"
"2017-12-04","1 day","2.60000"
"2017-12-04","30 days","4.23840"
"2017-12-04","6 months","4.72200"
"2017-12-05","30 days","4.30390"
"2017-12-05","6 months","4.73120"
"2017-12-05","1 day","2.57900"
"2017-12-05","14 days","3.85300"
"2017-12-05","1 year","4.64590"
"2017-12-05","7 days","2.79900"
"2017-12-05","9 months","4.63780"
"2017-12-05","90 days","4.79010"
"2017-12-06","1 year","4.64860"
"2017-12-06","14 days","3.84900"
"2017-12-06","9 months","4.64180"
"2017-12-06","7 days","2.78700"
"2017-12-06","90 days","4.78300"
"2017-12-06","30 days","4.33940"
"2017-12-06","6 months","4.73220"
"2017-12-06","1 day","2.57300"
"2017-12-07","6 months","4.73430"
"2017-12-07","14 days","3.85100"
"2017-12-07","1 day","2.58500"
"2017-12-07","30 days","4.39500"
"2017-12-07","1 year","4.65190"
"2017-12-07","7 days","2.79100"
"2017-12-07","9 months","4.64920"
"2017-12-07","90 days","4.78730"
"2017-12-08","1 day","2.60800"
"2017-12-08","14 days","3.85100"
"2017-12-08","1 year","4.65620"
"2017-12-08","6 months","4.74850"
"2017-12-08","30 days","4.43350"
"2017-12-08","7 days","2.79900"
"2017-12-08","90 days","4.79180"
"2017-12-08","9 months","4.65200"
"2017-12-11","1 year","4.66070"
"2017-12-11","30 days","4.45740"
"2017-12-11","6 months","4.76290"
"2017-12-11","7 days","2.81800"
"2017-12-11","90 days","4.79920"
"2017-12-11","9 months","4.65420"
"2017-12-11","1 day","2.68800"
"2017-12-11","14 days","3.85100"
"2017-12-12","1 day","2.72600"
"2017-12-12","14 days","3.85700"
"2017-12-12","1 year","4.66510"
"2017-12-12","30 days","4.48980"
"2017-12-12","6 months","4.77030"
"2017-12-12","7 days","2.83000"
"2017-12-12","90 days","4.79900"
"2017-12-12","9 months","4.65650"
"2017-12-13","6 months","4.78210"
"2017-12-13","7 days","2.85100"
"2017-12-13","90 days","4.80390"
"2017-12-13","9 months","4.66470"
"2017-12-13","1 year","4.67160"
"2017-12-13","14 days","3.86300"
"2017-12-13","1 day","2.78800"
"2017-12-13","30 days","4.52400"
"2017-12-14","1 day","2.80300"
"2017-12-14","14 days","3.87000"
"2017-12-14","1 year","4.68620"
"2017-12-14","6 months","4.79630"
"2017-12-14","30 days","4.55340"
"2017-12-14","7 days","2.86800"
"2017-12-14","90 days","4.81440"
"2017-12-14","9 months","4.67650"
"2017-12-15","14 days","3.87100"
"2017-12-15","1 year","4.69970"
"2017-12-15","30 days","4.58140"
"2017-12-15","6 months","4.80670"
"2017-12-15","7 days","2.87100"
"2017-12-15","90 days","4.81750"
"2017-12-15","9 months","4.68170"
"2017-12-15","1 day","2.72400"
"2017-12-18","14 days","3.88300"
"2017-12-18","1 day","2.72300"
"2017-12-18","1 year","4.69700"
"2017-12-18","30 days","4.63820"
"2017-12-18","6 months","4.80970"
"2017-12-18","7 days","2.87100"
"2017-12-18","90 days","4.83480"
"2017-12-18","9 months","4.68520"
"2017-12-19","14 days","3.89100"
"2017-12-19","9 months","4.69260"
"2017-12-19","6 months","4.81200"
"2017-12-19","30 days","4.68690"
"2017-12-19","1 day","2.74100"
"2017-12-19","1 year","4.69870"
"2017-12-19","7 days","2.87300"
"2017-12-19","90 days","4.83850"
"2017-12-20","9 months","4.69430"
"2017-12-20","7 days","2.87400"
"2017-12-20","1 year","4.72190"
"2017-12-20","30 days","4.73770"
"2017-12-20","6 months","4.83220"
"2017-12-20","90 days","4.85590"
"2017-12-20","14 days","3.89800"
"2017-12-20","1 day","2.73000"
"2017-12-21","9 months","4.70050"
"2017-12-21","30 days","4.77180"
"2017-12-21","6 months","4.84730"
"2017-12-21","90 days","4.86760"
"2017-12-21","14 days","3.90400"
"2017-12-21","1 year","4.73820"
"2017-12-21","1 day","2.66500"
"2017-12-21","7 days","2.87100"
"2017-12-22","1 day","2.61200"
"2017-12-22","14 days","3.90900"
"2017-12-22","90 days","4.89080"
"2017-12-22","9 months","4.70510"
"2017-12-22","7 days","2.86700"
"2017-12-22","1 year","4.74890"
"2017-12-22","30 days","4.84020"
"2017-12-22","6 months","4.86980"
"2017-12-25","1 day","2.56900"
"2017-12-25","6 months","4.88850"
"2017-12-25","30 days","4.91620"
"2017-12-25","1 year","4.76050"
"2017-12-25","7 days","2.88100"
"2017-12-25","14 days","3.91940"
"2017-12-25","90 days","4.90920"
"2017-12-25","9 months","4.71020"
"2017-12-26","90 days","4.90900"
"2017-12-26","9 months","4.71310"
"2017-12-26","6 months","4.88390"
"2017-12-26","7 days","2.89200"
"2017-12-26","30 days","4.92770"
"2017-12-26","14 days","3.93500"
"2017-12-26","1 year","4.76310"
"2017-12-26","1 day","2.58900"
"2017-12-27","6 months","4.88040"
"2017-12-27","90 days","4.91290"
"2017-12-27","1 year","4.75940"
"2017-12-27","14 days","3.95700"
"2017-12-27","7 days","2.90500"
"2017-12-27","1 day","2.66600"
"2017-12-27","9 months","4.71540"
"2017-12-27","30 days","4.93000"
"2017-12-28","90 days","4.91230"
"2017-12-28","9 months","4.71660"
"2017-12-28","14 days","3.97200"
"2017-12-28","6 months","4.88210"
"2017-12-28","7 days","2.92500"
"2017-12-28","1 day","2.67200"
"2017-12-28","1 year","4.76100"
"2017-12-28","30 days","4.93200"
"2017-12-29","1 day","2.84000"
"2017-12-29","6 months","4.88230"
"2017-12-29","30 days","4.93520"
"2017-12-29","1 year","4.75810"
"2017-12-29","7 days","2.95400"
"2017-12-29","14 days","3.98900"
"2017-12-29","90 days","4.91330"
"2017-12-29","9 months","4.72070"
"2018-01-02","90 days","4.80400"
"2018-01-02","9 months","4.71500"
"2018-01-02","6 months","4.83100"
"2018-01-02","7 days","2.83900"
"2018-01-02","30 days","4.74300"
"2018-01-02","14 days","3.94300"
"2018-01-02","1 year","4.74700"
"2018-01-02","1 day","2.65700"
"2018-01-03","6 months","4.78300"
"2018-01-03","90 days","4.73000"
"2018-01-03","1 year","4.73600"
"2018-01-03","14 days","3.87000"
"2018-01-03","7 days","2.78500"
"2018-01-03","1 day","2.56350"
"2018-01-03","9 months","4.71100"
"2018-01-03","30 days","4.62200"
"2018-01-04","90 days","4.68700"
"2018-01-04","9 months","4.70200"
"2018-01-04","14 days","3.80200"
"2018-01-04","6 months","4.73800"
"2018-01-04","7 days","2.76000"
"2018-01-04","1 day","2.50500"
"2018-01-04","1 year","4.72860"
"2018-01-04","30 days","4.47600"
"2018-01-05","1 day","2.48400"
"2018-01-05","6 months","4.71180"
"2018-01-05","30 days","4.37560"
"2018-01-05","1 year","4.72490"
"2018-01-05","7 days","2.74500"
"2018-01-05","14 days","3.74900"
"2018-01-05","90 days","4.66370"
"2018-01-05","9 months","4.69900"
"2018-01-08","90 days","4.65940"
"2018-01-08","9 months","4.69890"
"2018-01-08","6 months","4.70520"
"2018-01-08","7 days","2.73700"
"2018-01-08","30 days","4.28860"
"2018-01-08","14 days","3.72000"
"2018-01-08","1 year","4.72000"
"2018-01-08","1 day","2.46100"
"2018-01-09","6 months","4.70260"
"2018-01-09","9 months","4.69700"
"2018-01-09","90 days","4.65700"
"2018-01-09","7 days","2.74400"
"2018-01-09","30 days","4.22090"
"2018-01-09","14 days","3.69800"
"2018-01-09","1 day","2.52900"
"2018-01-09","1 year","4.72000"
"2018-01-10","1 day","2.64300"
"2018-01-10","1 year","4.72000"
"2018-01-10","9 months","4.69700"
"2018-01-10","90 days","4.66070"
"2018-01-10","14 days","3.70600"
"2018-01-10","30 days","4.18210"
"2018-01-10","7 days","2.77600"
"2018-01-10","6 months","4.69900"
"2018-01-11","90 days","4.67010"
"2018-01-11","9 months","4.70170"
"2018-01-11","14 days","3.77600"
"2018-01-11","7 days","2.83200"
"2018-01-11","30 days","4.16320"
"2018-01-11","6 months","4.70490"
"2018-01-11","1 day","2.83200"
"2018-01-11","1 year","4.72300"
"2018-01-12","1 year","4.72330"
"2018-01-12","1 day","2.83000"
"2018-01-12","14 days","3.80800"
"2018-01-12","30 days","4.11340"
"2018-01-12","9 months","4.70520"
"2018-01-12","6 months","4.70850"
"2018-01-12","7 days","2.86400"
"2018-01-12","90 days","4.67910"
"2018-01-15","14 days","3.81600"
"2018-01-15","6 months","4.71390"
"2018-01-15","9 months","4.71160"
"2018-01-15","90 days","4.68300"
"2018-01-15","7 days","2.86000"
"2018-01-15","30 days","4.09040"
"2018-01-15","1 day","2.79400"
"2018-01-15","1 year","4.72530"
"2018-01-16","1 day","2.78500"
"2018-01-16","1 year","4.72960"
"2018-01-16","9 months","4.71420"
"2018-01-16","90 days","4.68430"
"2018-01-16","14 days","3.82800"
"2018-01-16","30 days","4.09410"
"2018-01-16","7 days","2.87900"
"2018-01-16","6 months","4.71240"
"2018-01-17","90 days","4.69350"
"2018-01-17","9 months","4.71650"
"2018-01-17","14 days","3.83700"
"2018-01-17","7 days","2.87800"
"2018-01-17","30 days","4.09050"
"2018-01-17","6 months","4.71330"
"2018-01-17","1 day","2.76500"
"2018-01-17","1 year","4.73200"
"2018-01-18","9 months","4.72370"
"2018-01-18","7 days","2.87800"
"2018-01-18","1 year","4.73320"
"2018-01-18","1 day","2.76550"
"2018-01-18","14 days","3.84300"
"2018-01-18","30 days","4.09210"
"2018-01-18","6 months","4.71540"
"2018-01-18","90 days","4.70440"
"2018-01-19","30 days","4.11130"
"2018-01-19","6 months","4.72160"
"2018-01-19","9 months","4.72740"
"2018-01-19","90 days","4.71150"
"2018-01-19","14 days","3.84600"
"2018-01-19","1 year","4.73840"
"2018-01-19","1 day","2.83600"
"2018-01-19","7 days","2.89100"
"2018-01-22","1 day","2.77100"
"2018-01-22","1 year","4.74290"
"2018-01-22","9 months","4.73180"
"2018-01-22","14 days","3.85400"
"2018-01-22","7 days","2.88900"
"2018-01-22","90 days","4.71220"
"2018-01-22","30 days","4.11220"
"2018-01-22","6 months","4.72720"
"2018-01-23","6 months","4.72780"
"2018-01-23","30 days","4.11230"
"2018-01-23","14 days","3.86000"
"2018-01-23","1 day","2.60200"
"2018-01-23","1 year","4.74230"
"2018-01-23","7 days","2.86300"
"2018-01-23","90 days","4.71630"
"2018-01-23","9 months","4.73220"
"2018-01-24","14 days","3.86300"
"2018-01-24","1 day","2.57400"
"2018-01-24","9 months","4.73230"
"2018-01-24","7 days","2.83200"
"2018-01-24","1 year","4.74230"
"2018-01-24","30 days","4.11830"
"2018-01-24","6 months","4.72680"
"2018-01-24","90 days","4.72670"
"2018-01-25","30 days","4.12690"
"2018-01-25","6 months","4.72970"
"2018-01-25","14 days","3.86000"
"2018-01-25","1 year","4.74230"
"2018-01-25","1 day","2.56340"
"2018-01-25","7 days","2.84980"
"2018-01-25","90 days","4.73170"
"2018-01-25","9 months","4.73330"
"2018-01-26","30 days","4.12570"
"2018-01-26","6 months","4.72700"
"2018-01-26","1 day","2.55060"
"2018-01-26","1 year","4.74230"
"2018-01-26","9 months","4.73240"
"2018-01-26","14 days","3.86000"
"2018-01-26","7 days","2.84200"
"2018-01-26","90 days","4.72920"
"2018-01-29","14 days","3.86300"
"2018-01-29","1 day","2.56600"
"2018-01-29","1 year","4.74230"
"2018-01-29","7 days","2.84200"
"2018-01-29","90 days","4.72700"
"2018-01-29","6 months","4.72870"
"2018-01-29","30 days","4.12760"
"2018-01-29","9 months","4.73030"
"2018-01-30","14 days","3.85800"
"2018-01-30","1 day","2.55400"
"2018-01-30","30 days","4.12880"
"2018-01-30","6 months","4.72990"
"2018-01-30","90 days","4.72670"
"2018-01-30","9 months","4.73110"
"2018-01-30","7 days","2.83800"
"2018-01-30","1 year","4.74230"
"2018-01-31","14 days","3.85520"
"2018-01-31","1 day","2.59400"
"2018-01-31","9 months","4.73120"
"2018-01-31","30 days","4.12890"
"2018-01-31","6 months","4.73000"
"2018-01-31","90 days","4.72570"
"2018-01-31","1 year","4.74230"
"2018-01-31","7 days","2.82980"
"2018-02-01","14 days","3.86420"
"2018-02-01","90 days","4.72760"
"2018-02-01","9 months","4.73320"
"2018-02-01","6 months","4.73200"
"2018-02-01","7 days","2.79250"
"2018-02-01","1 day","2.51540"
"2018-02-01","1 year","4.74630"
"2018-02-01","30 days","4.13290"
"2018-02-02","90 days","4.72780"
"2018-02-02","9 months","4.73140"
"2018-02-02","1 day","2.51730"
"2018-02-02","6 months","4.73220"
"2018-02-02","30 days","4.12930"
"2018-02-02","1 year","4.74570"
"2018-02-02","7 days","2.78800"
"2018-02-02","14 days","3.86700"
"2018-02-05","7 days","2.77580"
"2018-02-05","30 days","4.10700"
"2018-02-05","14 days","3.87200"
"2018-02-05","90 days","4.72580"
"2018-02-05","9 months","4.73020"
"2018-02-05","6 months","4.73230"
"2018-02-05","1 year","4.74460"
"2018-02-05","1 day","2.53050"
"2018-02-06","9 months","4.73210"
"2018-02-06","30 days","4.08870"
"2018-02-06","6 months","4.73130"
"2018-02-06","90 days","4.72060"
"2018-02-06","1 year","4.74650"
"2018-02-06","14 days","3.87500"
"2018-02-06","7 days","2.77060"
"2018-02-06","1 day","2.53900"
"2018-02-07","14 days","3.88300"
"2018-02-07","90 days","4.70700"
"2018-02-07","9 months","4.73230"
"2018-02-07","6 months","4.73020"
"2018-02-07","7 days","2.77100"
"2018-02-07","1 day","2.57100"
"2018-02-07","1 year","4.74500"
"2018-02-07","30 days","4.08090"
"2018-02-08","90 days","4.69600"
"2018-02-08","9 months","4.73130"
"2018-02-08","1 day","2.57200"
"2018-02-08","6 months","4.72910"
"2018-02-08","30 days","4.07800"
"2018-02-08","1 year","4.74550"
"2018-02-08","7 days","2.90400"
"2018-02-08","14 days","3.88500"
"2018-02-09","7 days","2.91800"
"2018-02-09","30 days","4.07400"
"2018-02-09","14 days","3.89200"
"2018-02-09","90 days","4.69360"
"2018-02-09","9 months","4.73120"
"2018-02-09","6 months","4.72900"
"2018-02-09","1 year","4.74560"
"2018-02-09","1 day","2.58900"
"2018-02-12","9 months","4.73120"
"2018-02-12","30 days","4.07500"
"2018-02-12","6 months","4.72690"
