"Markettype","Trdwnt","Cwretmdos"
"5","2017-11","0.006117"
"15","2017-11","0.006138"
"21","2017-11","0.006424"
"31","2017-11","0.006442"
"37","2017-11","0.006117"
"47","2017-11","0.006138"
"53","2017-11","0.006424"
"63","2017-11","0.006442"
"69","2017-11","0.006117"
"79","2017-11","0.006138"
"85","2017-11","0.006424"
"95","2017-11","0.006442"
"101","2017-11","0.006117"
"111","2017-11","0.006138"
"117","2017-11","0.006424"
"127","2017-11","0.006442"
"33","2017-11","0.005164"
"20","2017-11","0.008487"
"10","2017-12","-0.008335"
"5","2017-12","0.010287"
"15","2017-12","0.010193"
"21","2017-12","0.010015"
"31","2017-12","0.009929"
"37","2017-12","0.010287"
"47","2017-12","0.010193"
"53","2017-12","0.010015"
"63","2017-12","0.009929"
"69","2017-12","0.010287"
"79","2017-12","0.010193"
"85","2017-12","0.010015"
"95","2017-12","0.009929"
"101","2017-12","0.010287"
"111","2017-12","0.010193"
"117","2017-12","0.010015"
"127","2017-12","0.009929"
"33","2017-12","0.009938"
"20","2017-12","0.010140"
"10","2017-13","-0.015590"
"5","2017-13","-0.013464"
"15","2017-13","-0.013475"
"21","2017-13","-0.015628"
"31","2017-13","-0.015628"
"37","2017-13","-0.013464"
"47","2017-13","-0.013475"
"53","2017-13","-0.015628"
"63","2017-13","-0.015628"
"69","2017-13","-0.013464"
"79","2017-13","-0.013475"
"85","2017-13","-0.015628"
"95","2017-13","-0.015628"
"101","2017-13","-0.013464"
"111","2017-13","-0.013475"
"117","2017-13","-0.015628"
"127","2017-13","-0.015628"
"33","2017-13","-0.008553"
"20","2017-13","-0.027173"
"10","2017-14","0.019541"
"5","2017-14","0.021762"
"15","2017-14","0.021751"
"21","2017-14","0.022019"
"31","2017-14","0.022008"
"37","2017-14","0.021762"
"47","2017-14","0.021751"
"53","2017-14","0.022019"
"63","2017-14","0.022008"
"69","2017-14","0.021762"
"79","2017-14","0.021751"
"85","2017-14","0.022019"
"95","2017-14","0.022008"
"101","2017-14","0.021762"
"111","2017-14","0.021751"
"117","2017-14","0.022019"
"127","2017-14","0.022008"
"33","2017-14","0.020790"
"20","2017-14","0.024062"
"10","2017-15","-0.009102"
"5","2017-15","-0.010481"
"15","2017-15","-0.010475"
"21","2017-15","-0.012401"
"31","2017-15","-0.012386"
"37","2017-15","-0.010481"
"47","2017-15","-0.010475"
"53","2017-15","-0.012401"
"63","2017-15","-0.012386"
"69","2017-15","-0.010481"
"79","2017-15","-0.010475"
"85","2017-15","-0.012401"
"95","2017-15","-0.012386"
"101","2017-15","-0.010481"
"111","2017-15","-0.010475"
"117","2017-15","-0.012401"
"127","2017-15","-0.012386"
"33","2017-15","-0.009651"
"20","2017-15","-0.016935"
"10","2017-16","-0.010330"
"5","2017-16","-0.023732"
"15","2017-16","-0.023666"
"21","2017-16","-0.025267"
"31","2017-16","-0.025198"
"37","2017-16","-0.023732"
"47","2017-16","-0.023666"
"53","2017-16","-0.025267"
"63","2017-16","-0.025198"
"69","2017-16","-0.023732"
"79","2017-16","-0.023666"
"85","2017-16","-0.025267"
"95","2017-16","-0.025198"
"101","2017-16","-0.023732"
"111","2017-16","-0.023666"
"117","2017-16","-0.025267"
"127","2017-16","-0.025198"
