"Symbol","TradingDate","ChangeRatio"
"000300","2015-01-01","0.000000"
"000300","2015-01-02","0.000000"
"000300","2015-01-05","0.030516"
"000300","2015-01-06","-0.000132"
"000300","2015-01-07","0.000750"
"000300","2015-01-08","-0.023199"
"000300","2015-01-09","-0.003522"
"000300","2015-01-12","-0.009346"
"000300","2015-01-13","0.000132"
"000300","2015-01-14","-0.003306"
"000300","2015-01-15","0.029036"
"000300","2015-01-16","0.008608"
"000300","2015-01-19","-0.077023"
"000300","2015-01-20","0.012240"
"000300","2015-01-21","0.044951"
"000300","2015-01-22","0.005277"
"000300","2015-01-23","0.001155"
"000300","2015-01-26","0.010150"
"000300","2015-01-27","-0.009161"
"000300","2015-01-28","-0.013877"
"000300","2015-01-29","-0.012346"
"000300","2015-01-30","-0.013616"
"000300","2015-02-02","-0.023419"
"000300","2015-02-03","0.024891"
"000300","2015-02-04","-0.010379"
"000300","2015-02-05","-0.010236"
"000300","2015-02-06","-0.016194"
"000300","2015-02-09","0.010114"
"000300","2015-02-10","0.018238"
"000300","2015-02-11","0.007978"
"000300","2015-02-12","0.002548"
"000300","2015-02-13","0.007829"
"000300","2015-02-16","0.008547"
"000300","2015-02-17","0.006526"
"000300","2015-02-18","0.000000"
"000300","2015-02-19","0.000000"
"000300","2015-02-20","0.000000"
"000300","2015-02-23","0.000000"
"000300","2015-02-24","0.000000"
"000300","2015-02-25","-0.012376"
"000300","2015-02-26","0.025172"
"000300","2015-02-27","0.001836"
"000300","2015-03-02","0.007955"
"000300","2015-03-03","-0.025926"
"000300","2015-03-04","0.006534"
"000300","2015-03-05","-0.009765"
"000300","2015-03-06","-0.005098"
"000300","2015-03-09","0.017027"
"000300","2015-03-10","-0.004845"
"000300","2015-03-11","0.001148"
"000300","2015-03-12","0.019347"
"000300","2015-03-13","0.006906"
"000300","2015-03-16","0.024329"
"000300","2015-03-17","0.013884"
"000300","2015-03-18","0.023671"
"000300","2015-03-19","-0.001642"
"000300","2015-03-20","0.013760"
"000300","2015-03-23","0.020420"
"000300","2015-03-24","0.000248"
"000300","2015-03-25","-0.008214"
"000300","2015-03-26","0.002433"
"000300","2015-03-27","0.005493"
"000300","2015-03-30","0.029328"
"000300","2015-03-31","-0.009044"
"000300","2015-04-01","0.017943"
"000300","2015-04-02","0.000214"
"000300","2015-04-03","0.011094"
"000300","2015-04-06","0.000000"
"000300","2015-04-07","0.021461"
"000300","2015-04-08","0.008394"
"000300","2015-04-09","-0.007837"
"000300","2015-04-10","0.019304"
"000300","2015-04-13","0.017645"
"000300","2015-04-14","0.003870"
"000300","2015-04-15","-0.012994"
"000300","2015-04-16","0.030369"
"000300","2015-04-17","0.018298"
"000300","2015-04-20","-0.016148"
"000300","2015-04-21","0.021505"
"000300","2015-04-22","0.026119"
"000300","2015-04-23","0.000227"
"000300","2015-04-24","-0.008068"
"000300","2015-04-27","0.022317"
"000300","2015-04-28","-0.013672"
"000300","2015-04-29","0.006846"
"000300","2015-04-30","-0.005119"
"000300","2015-05-01","0.000000"
"000300","2015-05-04","0.007970"
"000300","2015-05-05","-0.039874"
"000300","2015-05-06","-0.009465"
"000300","2015-05-07","-0.018281"
"000300","2015-05-08","0.019757"
"000300","2015-05-11","0.028986"
"000300","2015-05-12","0.012128"
"000300","2015-05-13","-0.006105"
"000300","2015-05-14","-0.003742"
"000300","2015-05-15","-0.017722"
"000300","2015-05-18","-0.009167"
"000300","2015-05-19","0.034115"
"000300","2015-05-20","0.005009"
