"Symbol","TradingDate","ChangeRatio"
"000300","2019-08-12","0.018047"
"000300","2019-08-13","-0.009017"
"000300","2019-08-14","0.004542"
"000300","2019-08-15","0.003150"
"000300","2019-08-16","0.004477"
"000300","2019-08-19","0.021710"
"000300","2019-08-20","-0.000887"
"000300","2019-08-21","-0.001577"
"000300","2019-08-22","0.003106"
"000300","2019-08-23","0.007212"
"000300","2019-08-26","-0.014382"
"000300","2019-08-27","0.013552"
"000300","2019-08-28","-0.003763"
"000300","2019-08-29","-0.003260"
"000300","2019-08-30","0.002480"
"000300","2019-09-02","0.012826"
"000300","2019-09-03","0.001375"
"000300","2019-09-04","0.008405"
"000300","2019-09-05","0.010119"
"000300","2019-09-06","0.005907"
"000300","2019-09-09","0.006190"
"000300","2019-09-10","-0.003444"
"000300","2019-09-11","-0.007366"
"000300","2019-09-12","0.010758"
"000300","2019-09-13","0.000000"
"000300","2019-09-16","-0.003692"
"000300","2019-09-17","-0.016801"
"000300","2019-09-18","0.004848"
"000300","2019-09-19","0.003657"
"000300","2019-09-20","0.002872"
"000300","2019-09-23","-0.011431"
"000300","2019-09-24","0.002677"
"000300","2019-09-25","-0.007714"
"000300","2019-09-26","-0.007710"
"000300","2019-09-27","0.002998"
"000300","2019-09-30","-0.009896"
"000300","2019-10-01","0.000000"
"000300","2019-10-02","0.000000"
"000300","2019-10-03","0.000000"
"000300","2019-10-04","0.000000"
"000300","2019-10-07","0.000000"
"000300","2019-10-08","0.006069"
"000300","2019-10-09","0.001449"
"000300","2019-10-10","0.008170"
"000300","2019-10-11","0.009571"
"000300","2019-10-14","0.010613"
"000300","2019-10-15","-0.004298"
"000300","2019-10-16","-0.003446"
"000300","2019-10-17","0.000647"
"000300","2019-10-18","-0.014227"
"000300","2019-10-21","0.002962"
"000300","2019-10-22","0.003876"
"000300","2019-10-23","-0.006365"
"000300","2019-10-24","-0.000108"
"000300","2019-10-25","0.006749"
"000300","2019-10-28","0.007646"
"000300","2019-10-29","-0.004166"
"000300","2019-10-30","-0.004859"
"000300","2019-10-31","-0.001150"
"000300","2019-11-01","0.016887"
"000300","2019-11-04","0.006511"
"000300","2019-11-05","0.006207"
"000300","2019-11-06","-0.004480"
"000300","2019-11-07","0.001755"
"000300","2019-11-08","-0.004726"
"000300","2019-11-11","-0.017627"
"000300","2019-11-12","0.000182"
"000300","2019-11-13","-0.000950"
"000300","2019-11-14","0.001506"
"000300","2019-11-15","-0.007365"
"000300","2019-11-18","0.007954"
"000300","2019-11-19","0.010008"
"000300","2019-11-20","-0.009925"
"000300","2019-11-21","-0.004674"
"000300","2019-11-22","-0.010182"
"000300","2019-11-25","0.007328"
"000300","2019-11-26","0.003467"
"000300","2019-11-27","-0.004120"
"000300","2019-11-28","-0.003436"
"000300","2019-11-29","-0.008708"
"000300","2019-12-02","0.001930"
"000300","2019-12-03","0.003918"
"000300","2019-12-04","-0.000329"
"000300","2019-12-05","0.007674"
"000300","2019-12-06","0.005934"
"000300","2019-12-09","-0.001778"
"000300","2019-12-10","0.001267"
"000300","2019-12-11","0.000606"
"000300","2019-12-12","-0.003004"
"000300","2019-12-13","0.019840"
"000300","2019-12-16","0.004870"
"000300","2019-12-17","0.013606"
"000300","2019-12-18","-0.002231"
"000300","2019-12-19","-0.001397"
"000300","2019-12-20","-0.002458"
"000300","2019-12-23","-0.012485"
"000300","2019-12-24","0.006519"
"000300","2019-12-25","-0.000524"
"000300","2019-12-26","0.008800"
"000300","2019-12-27","-0.000984"
"000300","2019-12-30","0.014820"
"000300","2019-12-31","0.003663"
"000300","2020-01-01","0.000000"
"000300","2020-01-02","0.013587"
"000300","2020-01-03","-0.001752"
"000300","2020-01-06","-0.003780"
"000300","2020-01-07","0.007491"
"000300","2020-01-08","-0.011516"
"000300","2020-01-09","0.012658"
"000300","2020-01-10","-0.000285"
"000300","2020-01-13","0.009801"
"000300","2020-01-14","-0.003354"
"000300","2020-01-15","-0.005526"
"000300","2020-01-16","-0.004246"
"000300","2020-01-17","0.001400"
"000300","2020-01-20","0.007456"
"000300","2020-01-21","-0.017086"
"000300","2020-01-22","0.004283"
"000300","2020-01-23","-0.030986"
"000300","2020-01-24","0.000000"
"000300","2020-01-27","0.000000"
"000300","2020-01-28","0.000000"
"000300","2020-01-29","0.000000"
